50000 0.02
100000 0.05
150000 0.07
200000 0.09
250000 0.12
300000 0.14
350000 0.17
400000 0.2
450000 0.23
500000 0.25
550000 0.27
600000 0.31
650000 0.32
700000 0.36
750000 0.37
800000 0.4
850000 0.42
900000 0.45
950000 0.47
1000000 0.5
